@relation 'Glass_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute 0.545RI+0.492Ca-0.429Al-0.258Na-0.25Ba... numeric
@attribute 0.594Mg-0.485Ba-0.345Ca-0.295Al-0.286RI... numeric
@attribute -0.663K+0.459Si+0.385Na-0.329Al-0.284Fe... numeric
@attribute '0.653Si-0.491Na-0.379Mg+0.276Ca+0.23 Fe...' numeric
@attribute 0.873Fe-0.307K+0.251Ba-0.188Ca+0.154Na... numeric
@attribute 0.657Ba-0.558Na+0.308Mg-0.244K-0.243Fe... numeric
@attribute Type {'build wind float','build wind non-float','vehic wind float','vehic wind non-float',containers,tableware,headlamps}

@data
0.213478,1.06256,0.202366,0.292691,-0.682913,0.511348,'build wind float'
-0.070735,1.298159,-0.215419,0.633865,-0.693787,0.916229,'vehic wind float'
-0.15541,0.736423,0.028811,-0.27241,-0.533169,0.219911,'build wind float'
-2.320228,0.461319,2.38551,1.15531,0.074897,-0.63716,tableware
7.121999,-3.99507,-2.253856,0.25744,-0.082616,-0.788176,'build wind non-float'
-0.022595,0.808454,-0.429583,1.335446,1.356591,-0.017286,'build wind non-float'
0.594046,0.95219,1.487671,-0.409147,-0.268425,0.171506,'vehic wind float'
0.180937,0.408999,0.238132,0.179486,-0.678967,0.124052,'build wind float'
-2.293088,-2.209489,0.446897,1.233071,0.359972,-0.412762,headlamps
0.613006,1.08901,-0.86973,0.001726,2.02041,-0.39302,'build wind non-float'
-0.618078,0.87501,0.283711,-0.268949,-0.357553,0.156132,'build wind non-float'
0.612459,1.399061,-0.458609,1.77843,1.346739,0.293737,'build wind non-float'
2.067963,0.193221,0.396383,-0.993942,-0.630814,0.402014,'build wind float'
1.743029,0.182778,0.852251,-1.734485,-0.402434,-0.16746,'vehic wind float'
-0.315062,0.751408,-0.799409,0.194311,1.015696,-0.240802,'vehic wind float'
-0.779588,0.640386,-0.118989,-0.495266,-0.410309,0.012816,'build wind non-float'
-2.076487,-3.071204,0.76129,-0.018466,1.282663,0.527755,headlamps
-0.653715,1.140359,0.085804,0.676394,-0.603651,0.525418,'build wind non-float'
0.54327,-1.763111,0.143955,1.487065,-1.180024,-0.715274,containers
-0.133271,0.411035,0.030726,0.280226,-0.60701,0.460583,'build wind non-float'
2.090457,0.426015,-0.131908,-0.243259,0.868583,0.05263,'build wind float'
3.32549,-2.021429,-2.764831,2.87117,0.988338,-0.562334,'build wind non-float'
0.989339,1.01951,-0.826468,0.044857,1.290405,-0.166429,'build wind non-float'
0.037286,1.051854,0.056765,-0.115309,0.537407,-0.104666,'build wind float'
1.007682,-0.88201,-2.675809,1.527263,3.635274,-1.06388,containers
-0.865734,1.075496,0.641759,0.255955,-0.312274,0.302281,'build wind non-float'
-1.071987,0.962532,-0.391904,0.287067,-0.523971,0.434589,'build wind non-float'
-2.156114,-2.892988,0.887288,0.315023,1.159612,0.674267,headlamps
-0.570672,0.925871,0.170758,-0.126855,-0.436665,0.244089,'build wind non-float'
-0.491278,0.954005,0.231791,-0.284119,-0.43629,0.106739,'vehic wind float'
-0.773019,1.078925,-0.01468,0.371527,-0.519566,0.494649,'build wind non-float'
0.105813,0.28242,-0.275946,-0.605189,-0.593758,0.015005,'vehic wind float'
-3.275118,0.041694,5.152987,0.120313,0.631121,-2.876381,tableware
-0.683486,0.839671,-0.126354,-0.621462,-0.422043,0.017242,'build wind non-float'
-0.002347,1.06332,-0.120572,0.375141,0.448438,0.151674,'build wind float'
-0.38162,1.376906,-0.687911,1.154853,1.595269,-0.070165,'build wind float'
-0.289588,1.32091,-0.866647,0.925627,1.810416,-0.140891,'build wind float'
-0.072201,0.515455,-0.474161,0.891351,-0.893671,0.513984,'build wind non-float'
-0.062405,1.218007,-0.734551,0.861606,1.693233,-0.094371,'build wind non-float'
-2.310958,0.57264,-0.542875,-0.96013,-0.324447,-0.834805,'build wind non-float'
0.02698,0.938949,-0.01542,0.31297,-0.677372,0.5357,'build wind float'
0.336892,1.288084,0.076638,0.307331,0.543153,0.214117,'build wind non-float'
-0.688744,1.063805,-0.017045,0.02952,-0.476014,0.371266,'build wind non-float'
-0.732886,0.920229,0.537762,0.196281,-0.361682,0.237947,'build wind non-float'
1.216127,0.671798,0.346143,-0.197125,1.868563,-0.269385,'vehic wind float'
0.017325,1.098356,0.274628,0.517314,-0.650761,0.58264,'build wind float'
-4.312761,-2.647649,-3.953223,-3.171494,0.582754,1.779855,containers
-0.141751,0.959428,0.116851,-0.414752,-0.475185,0.285136,'build wind float'
-0.065683,0.900764,0.17595,-0.030677,-0.5685,0.326843,'build wind float'
0.791186,0.602915,0.200491,-0.46968,-0.60542,0.446578,'build wind non-float'
-0.068925,1.161182,0.017364,0.924059,-0.120247,0.558576,'build wind float'
0.477941,1.006618,-0.146022,0.105461,1.03735,0.01926,'build wind non-float'
-0.25208,1.113539,0.539373,-0.08014,-0.457451,0.256173,'build wind float'
-0.932881,1.201129,0.147041,0.173967,-0.448067,0.329276,'build wind non-float'
-1.988983,-2.593316,0.40668,0.579753,-0.120058,-0.573806,headlamps
-0.308095,0.761377,-0.329389,0.171792,0.108727,0.183029,'build wind float'
0.587586,-1.907208,-1.325819,-2.706874,-0.705842,-1.500489,headlamps
1.204276,0.016777,0.464003,-1.232431,-0.416051,0.052332,'build wind float'
0.115694,0.736244,1.00461,-0.541163,-0.232693,0.135867,'vehic wind float'
0.02856,0.801824,0.085468,-0.801055,-0.420874,0.210614,'build wind non-float'
0.747591,0.868059,-0.980362,-0.538994,2.462398,-0.808088,'build wind non-float'
0.456237,0.55062,0.834997,-0.643252,-0.31517,0.170751,'build wind float'
-0.388009,1.007418,0.353058,-0.148391,-0.474896,0.08828,'build wind float'
1.928591,0.141782,0.971056,-1.965857,-0.378449,-0.232449,'build wind float'
2.720832,0.112774,0.225399,-1.230109,0.874342,-0.324842,'build wind float'
-2.100074,-2.368489,0.340308,1.138202,-0.029816,0.069651,headlamps
0.721377,0.473781,-0.423976,-0.164535,0.300398,-0.13331,'build wind float'
2.188147,0.15982,-0.772872,-1.367782,2.939157,-1.213089,'vehic wind float'
3.631698,-6.178957,-4.905113,0.056779,1.8304,4.296594,'build wind non-float'
2.060913,0.44604,-0.072685,-0.159011,0.86968,0.063746,'build wind float'
-0.199183,-0.738494,0.922458,-0.751051,-0.241728,-0.788828,tableware
0.323227,0.91303,-0.22664,-0.392639,0.807862,-0.161682,'build wind non-float'
-0.272836,-1.784637,1.15633,-0.446932,-0.367819,-1.503884,tableware
0.186277,0.88673,-0.404767,-0.468513,0.427238,0.046397,'build wind non-float'
2.246688,-0.027909,0.325494,-0.933798,-0.392324,0.234407,'build wind float'
-0.687034,0.842569,0.030405,-0.670053,-0.387227,-0.046565,'build wind non-float'
-0.114824,1.050476,0.038586,0.575595,-0.644987,0.715133,'build wind float'
-0.422208,1.812307,-0.45233,1.069181,2.334813,-0.578633,'build wind float'
-0.2768,1.007924,0.380473,0.217611,-0.523473,0.320475,'vehic wind float'
-0.216586,1.037036,0.209276,0.280251,-0.563468,0.483647,'build wind float'
-0.013323,1.102135,0.144462,0.240525,-0.609446,0.556301,'build wind float'
-0.350271,1.088697,0.483944,-0.068941,-0.431079,0.297335,'build wind float'
1.525552,-0.054297,0.761448,-2.161661,-0.260496,-0.317347,'vehic wind float'
-0.098872,0.74506,0.157276,-0.131837,-0.559586,0.195013,'build wind float'
1.799158,-0.527491,-0.692438,1.755324,-1.403146,0.901577,containers
0.094096,0.643503,-0.704661,-1.049079,0.989291,-0.452677,'build wind non-float'
4.585745,-2.693133,0.162203,0.909009,-1.744348,-0.227139,'build wind non-float'
0.205193,0.996845,-0.634539,0.543367,1.127763,0.029653,'build wind float'
-0.050368,1.044781,0.21255,0.135447,-0.607466,0.393629,'build wind float'
1.374166,-1.599613,0.220351,-0.016815,-0.978332,-0.765231,'build wind non-float'
-2.182759,-2.849803,1.275971,-0.162631,0.492017,0.292065,headlamps
0.753472,1.191508,-0.772515,1.008973,2.001991,-0.216578,'build wind float'
2.000195,0.362648,-0.141596,-0.302692,0.771905,-0.00039,'build wind float'
0.652933,-0.341744,1.0837,-0.144278,-0.454838,-0.248382,tableware
-2.72592,-2.032522,1.391542,0.785714,0.151571,-0.703738,headlamps
1.763256,0.234302,0.2223,-0.987693,0.091139,0.039327,'build wind float'
-2.040537,-3.068754,1.205518,-0.388433,0.563401,0.538535,headlamps
1.063447,-1.364379,-0.647821,-0.139499,0.79664,-1.378184,'build wind non-float'
-0.561326,1.063317,0.311359,0.340733,-0.451894,0.469792,'build wind non-float'
0.258603,1.016074,-0.024882,-0.589617,-0.53811,0.402627,'build wind non-float'
-0.572794,0.75801,0.555406,-0.758454,-0.256469,-0.115689,'build wind float'
-0.062966,1.088254,-0.947458,0.24189,2.152394,-0.573714,'build wind non-float'
-0.021652,-3.465709,-0.11765,-3.989717,0.602722,0.385698,headlamps
-2.392043,-3.100965,1.114888,-0.28778,0.623262,0.61661,headlamps
-2.519292,-3.113682,1.077707,-0.215815,0.684291,0.865084,headlamps
-4.379267,0.103208,-7.96851,-0.337057,-3.180447,-2.822362,containers
-0.700549,0.74938,-0.320574,0.024941,-0.541485,0.32392,'build wind non-float'
-1.954075,-2.457426,1.037548,0.46185,0.041168,-0.492568,headlamps
0.392192,0.339462,-0.038692,-0.939932,-0.574799,-0.126479,'build wind float'
0.682177,-1.394015,0.44467,2.489948,-1.27314,-0.198312,containers
0.981204,1.017722,0.483212,1.735673,1.058568,0.118899,'build wind non-float'
-2.264431,-2.342823,1.243219,0.313115,0.149888,-0.662036,headlamps
0.546036,0.294969,0.701291,-1.253805,-0.234,-0.05265,'build wind float'
-2.364204,-2.750424,1.231813,0.524056,0.513803,1.001005,headlamps
-0.002275,0.957054,-0.080311,-0.021782,-0.626676,0.398269,'vehic wind float'
1.064603,0.071266,-0.056511,-0.817665,-0.693823,0.163343,headlamps
0.639406,-0.898468,-0.80014,-0.013595,0.885053,-0.42984,'build wind non-float'
-2.753889,-1.264091,-1.945355,-2.750161,0.417078,1.351547,headlamps
0.739859,-0.783504,2.515983,2.075723,-0.806136,-0.676431,'build wind non-float'
0.458182,0.969798,-0.280883,1.946938,1.353663,0.034828,'build wind float'
0.301932,1.041659,-0.411146,0.872651,1.535867,-0.335435,'build wind non-float'
-0.309,1.419711,-0.484927,1.074489,1.610683,-0.167453,'build wind float'
2.345864,-1.137531,-0.056539,-1.685606,-0.710672,-0.306113,'build wind non-float'
3.843371,-1.341918,-0.16888,-2.350071,-0.904369,-0.246616,'build wind non-float'
1.62726,-1.315533,-0.129112,2.387191,1.434479,-0.908994,containers
0.156155,1.233037,-0.13938,0.770093,0.974731,0.127646,'build wind float'
-1.374164,0.868722,-0.99864,3.768477,-2.072185,-0.265403,headlamps
-2.378258,-3.054515,-0.090234,0.37573,0.102985,0.230621,headlamps
1.148447,0.528249,0.371225,-1.724857,-0.251347,0.339414,'build wind float'
-0.089746,1.178489,0.215035,0.607279,-0.629645,0.714556,'build wind float'
-0.920404,1.194129,0.055347,0.252984,-0.496656,0.346213,'build wind non-float'
-0.764434,1.216335,0.133857,0.571069,-0.531266,0.574678,'build wind non-float'
-1.676316,-3.27714,0.928172,0.170614,0.450631,1.244402,headlamps
0.297564,1.162168,-0.324185,0.778844,0.586975,0.279478,'build wind float'
1.925304,-2.486612,-0.091215,0.640671,-1.303855,-0.812417,containers
-0.120018,1.218988,0.623281,0.115751,-0.493418,0.382261,'build wind float'
-0.326477,1.099783,0.530992,-0.333115,-0.400696,0.165879,'build wind float'
-0.540056,1.028967,-0.035913,0.175804,-0.520615,0.492887,'build wind non-float'
1.903384,0.13483,0.513923,-1.583905,-0.510117,0.04802,'build wind float'
-0.64988,1.113861,-0.281575,0.262577,0.316819,0.036792,'build wind non-float'
0.173053,1.179674,0.203529,0.381633,-0.661491,0.645335,'build wind float'
0.256821,0.098705,-0.051218,-1.441148,-0.393673,-0.140268,'build wind float'
0.235668,-0.567001,0.147768,-1.714735,0.069427,0.86472,'build wind float'
-0.793165,-0.792871,-0.006957,2.434432,-1.249771,-0.534377,containers
-0.879272,0.970039,0.145936,-0.161504,-0.39273,0.157254,'build wind non-float'
0.272108,0.759071,-0.642808,0.04879,0.477532,0.151494,'build wind non-float'
-0.833021,0.522466,-0.366078,-1.072832,-0.345351,-0.158994,'build wind non-float'
1.113134,-0.618987,-0.569769,-0.309988,0.777919,-0.924752,'build wind non-float'
-1.108032,0.359616,0.280292,-1.715821,1.266925,-1.075313,'build wind non-float'
-0.002296,1.022077,0.196671,-0.790461,-0.420208,0.208971,'build wind non-float'
-3.941271,0.726802,-1.084877,-0.745313,0.154079,1.033758,headlamps
1.902004,-0.184754,0.606925,-2.197615,-0.350155,-0.231772,'build wind float'
3.410946,-3.127567,-0.633112,-0.05889,-0.532485,-1.323963,'build wind non-float'
-0.120255,1.013366,0.337386,-0.44097,-0.4123,0.303922,'build wind non-float'
-0.262011,0.769944,0.320096,-0.299322,-0.469627,0.019677,'vehic wind float'
-0.112941,1.025218,0.086005,0.301434,-0.623377,0.513166,'build wind float'
-2.673093,-2.125836,1.506023,0.347529,0.24426,-0.83134,headlamps
0.259729,-0.546751,-0.498993,0.874285,-1.00357,0.057435,containers
1.213209,0.435874,1.653753,-2.118884,-0.108545,-0.599894,'build wind float'
0.093117,0.795648,-0.041198,-0.624268,-0.513163,0.25326,'build wind non-float'
4.508175,-2.022982,0.229874,2.892992,-1.975236,0.815311,'build wind non-float'
1.880429,0.295782,-0.048976,-1.144128,0.448286,-0.090376,'build wind float'
-2.144237,-2.290239,0.857761,0.62464,0.922411,-0.875128,headlamps
-4.422171,0.168286,-7.83591,-0.153442,-3.179606,-2.778451,containers
4.861635,-2.106171,0.045815,2.922282,-2.071937,0.944364,'build wind non-float'
1.928591,0.141782,0.971056,-1.965857,-0.378449,-0.232449,'build wind float'
-0.022184,1.160018,0.449166,0.445178,-0.592411,0.538501,'build wind float'
0.96616,1.146276,-1.136558,0.644403,2.488221,-0.387683,'build wind non-float'
-0.534404,1.067282,0.279273,-0.299394,-0.455326,0.068163,'build wind non-float'
-2.334786,-2.427974,0.937607,0.200145,0.056982,-0.959199,headlamps
-0.121066,1.060218,0.131498,-0.000367,-0.553726,0.395729,'build wind non-float'
-0.306079,0.961811,0.27413,0.87971,1.458063,-0.024353,'build wind non-float'
2.964411,-0.462057,0.261095,-1.84493,0.370046,-0.208601,'build wind float'
-3.548777,-3.458641,-0.808972,-0.892219,0.724638,2.398465,headlamps
-0.020767,0.32118,0.108805,-1.368464,-0.374635,-0.314494,'build wind float'
-1.384461,-1.086598,0.914266,0.158723,0.136924,0.567104,headlamps
1.454713,-0.09861,0.485746,-2.364682,-0.299458,-0.367518,'build wind float'
0.015804,0.955214,0.112239,0.145788,-0.609361,0.499313,'build wind float'
1.782008,-0.31202,-0.703659,2.664432,-1.585794,1.22134,containers
1.111558,-1.453704,2.294413,0.724599,-0.725676,-1.325066,tableware
-0.649381,1.061757,0.076026,0.097853,-0.485711,0.348236,'build wind non-float'
-0.53505,0.921319,-0.279392,-0.105497,0.447342,-0.209793,'build wind non-float'
0.07682,0.278316,-0.636442,-0.660423,0.274706,-0.34563,'vehic wind float'
1.691058,-2.069294,1.055946,0.372218,-0.177638,-1.51507,'build wind non-float'
0.081563,0.96376,0.036503,0.332368,-0.654948,0.59548,'build wind float'
-2.257356,-3.021507,0.888761,0.413522,0.504292,1.210779,headlamps
0.041072,1.025479,0.009772,0.12293,-0.625751,0.515074,'build wind float'
0.105912,0.413536,0.436352,-0.029755,-0.612161,-0.072285,'build wind float'
-0.166474,0.963148,-0.128499,0.024608,0.4188,-0.059526,'vehic wind float'
1.591311,-2.108373,0.100286,0.86177,-1.280047,-0.915931,containers
0.414178,0.292601,-0.19787,-0.982254,-0.572195,-0.049875,'build wind float'
0.171403,0.509094,0.136451,0.486983,0.179676,-0.142849,'build wind float'
0.255899,-0.63773,0.716862,-0.515337,-0.376657,-0.444764,tableware
-2.384789,-2.39497,0.587613,0.71893,-0.010654,-0.43532,headlamps
-0.06674,-2.238446,0.668897,0.728869,-0.709927,-1.169495,tableware
0.902171,0.896087,-0.510372,-0.073557,0.64648,-0.088178,'build wind non-float'
-0.875987,1.206101,0.113172,0.260688,-0.488039,0.355392,'build wind non-float'
-0.907063,1.136336,0.385058,0.150949,-0.407438,0.22047,'build wind non-float'
-0.753626,1.096695,-0.496045,0.969902,0.233193,0.458253,'build wind non-float'
-0.32519,1.158598,-0.679407,0.692805,1.371615,-0.098314,'build wind non-float'
-0.656789,0.778904,-0.168263,-0.396374,-0.476006,0.092752,'build wind non-float'
0.60301,0.778375,-0.249165,0.190676,0.820094,-0.176899,'build wind float'
-0.08175,0.342752,-0.232546,-0.844132,-0.521195,-0.124929,'vehic wind float'
0.395658,1.070563,-0.497469,0.704073,1.392542,0.051762,'build wind float'
0.094419,0.455098,-0.076212,-0.668368,-0.513868,0.101273,'build wind non-float'
-0.147178,0.931583,0.516972,-0.244506,-0.444457,0.147067,'build wind float'
-2.102052,-2.125735,0.376897,1.391068,0.631386,-0.779805,headlamps
-0.937961,0.927661,0.553609,-0.205772,-0.23695,0.126334,'build wind float'
-0.114985,1.157568,0.33324,0.415542,-0.584066,0.575376,'build wind float'
-0.446137,0.955182,0.335465,-0.320491,-0.446456,0.014045,'vehic wind float'
-1.210859,0.777276,-0.637144,0.15413,-0.512906,0.377468,'build wind non-float'
-0.461915,0.985936,0.47687,-0.241552,1.068652,-0.508248,'build wind non-float'
-0.652579,0.70924,-0.194875,0.852948,-0.726709,0.409543,'build wind non-float'
-0.144052,-0.638353,0.887172,-0.259513,-0.324834,-0.513441,tableware
