@relation InstanceResultListener

@attribute Key_Dataset {Glass-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6,'Glass_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48}
@attribute Key_Scheme_options {'-C 0.25 -M 2'}
@attribute Key_Scheme_version_ID {-217733168393644444}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 64\nSize of the tree: 71\n','Number of leaves: 82\nSize of the tree: 91\n','Number of leaves: 73\nSize of the tree: 81\n','Number of leaves: 55\nSize of the tree: 61\n','Number of leaves: 91\nSize of the tree: 101\n','Number of leaves: 100\nSize of the tree: 111\n','Number of leaves: 109\nSize of the tree: 121\n','Number of leaves: 118\nSize of the tree: 131\n','Number of leaves: 20\nSize of the tree: 39\n','Number of leaves: 27\nSize of the tree: 53\n','Number of leaves: 25\nSize of the tree: 49\n','Number of leaves: 24\nSize of the tree: 47\n','Number of leaves: 23\nSize of the tree: 45\n','Number of leaves: 17\nSize of the tree: 33\n','Number of leaves: 29\nSize of the tree: 57\n','Number of leaves: 18\nSize of the tree: 35\n','Number of leaves: 22\nSize of the tree: 43\n','Number of leaves: 19\nSize of the tree: 37\n','Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 28\nSize of the tree: 55\n','Number of leaves: 21\nSize of the tree: 41\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

Glass-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191005.0053,192,22,12,10,0,54.545455,45.454545,0,0.331307,0.151782,0.28996,71.716088,89.400531,48.002519,1108.131863,-1060.129344,2.181933,50.36963,-48.187697,18.461068,0.839139,38.458539,1,7,0.466667,7,0.533333,8,0,0,0.5,1,0.666667,0.516398,0.82381,0.630952,0.545455,0.202597,0.797403,0.454545,?,0.545455,?,?,0.751421,0.557332,?,0.545455,0.025,0.002,0.03,0,30,0,27101,26071,7541,86.363636,37.012987,'Number of leaves: 64\nSize of the tree: 71\n',71,64,64
Glass-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191005.0053,192,22,16,6,0,72.727273,27.272727,0,0.616279,0.106708,0.239665,50.449933,73.946975,47.702958,1090.653564,-1042.950605,2.168316,49.575162,-47.406846,29.294415,1.331564,61.410058,0.714286,5,0.266667,4,0.733333,11,0.285714,2,0.555556,0.714286,0.625,0.424043,0.752381,0.513709,0.727273,0.136797,0.863203,0.272727,?,0.727273,?,?,0.851732,0.660526,?,0.727273,0.011,0,0,0.01,0,10,32869,26071,7541,95.454545,29.87013,'Number of leaves: 82\nSize of the tree: 91\n',91,82,82
Glass-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191005.0053,192,22,13,9,0,59.090909,40.909091,0,0.422741,0.143456,0.291186,67.490836,89.345698,49.182986,2171.29579,-2122.112804,2.23559,98.695263,-96.459673,21.250701,0.965941,43.207423,0.857143,6,0.333333,5,0.666667,10,0.142857,1,0.545455,0.857143,0.666667,0.48795,0.819048,0.555278,0.590909,0.1671,0.8329,0.409091,?,0.590909,?,?,0.799297,0.551778,?,0.590909,0.009,0.001,0,0.01,0,10,29985,26071,7541,90.909091,35.064935,'Number of leaves: 73\nSize of the tree: 81\n',81,73,73
Glass-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191005.0053,192,22,11,11,0,50,50,0,0.342391,0.155268,0.318566,72.227216,96.519781,50.496248,3244.582283,-3194.086035,2.295284,147.481013,-145.185729,21.005226,0.954783,41.597597,0.571429,4,0.266667,4,0.733333,11,0.428571,3,0.5,0.571429,0.533333,0.295084,0.814286,0.564678,0.5,0.164536,0.835464,0.5,?,0.5,?,?,0.7758,0.52972,?,0.5,0.006,0,0.01,0,10,0,27101,26071,7541,86.363636,32.467532,'Number of leaves: 64\nSize of the tree: 71\n',71,64,64
Glass-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191005.0053,193,21,13,8,0,61.904762,38.095238,0,0.478261,0.134959,0.279644,63.443907,85.727486,46.480972,1096.547715,-1050.066743,2.21338,52.216558,-50.003178,23.322398,1.11059,50.176227,0.857143,6,0.357143,5,0.642857,9,0.142857,1,0.545455,0.857143,0.666667,0.47194,0.816327,0.626623,0.619048,0.153175,0.846825,0.380952,?,0.619048,?,?,0.824576,0.603102,?,0.619048,0.004,0,0.01,0,10,0,29985,26180,7432,95.238095,36.734694,'Number of leaves: 73\nSize of the tree: 81\n',81,73,73
Glass-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191005.0053,193,21,10,11,0,47.619048,52.380952,0,0.282609,0.161212,0.311996,75.785605,95.645531,46.480972,2172.973641,-2126.492669,2.21338,103.474935,-101.261556,15.025962,0.715522,32.327125,0.285714,2,0.214286,3,0.785714,11,0.714286,5,0.4,0.285714,0.333333,0.079057,0.739796,0.568917,0.47619,0.197619,0.802381,0.52381,?,0.47619,?,?,0.770096,0.59191,?,0.47619,0.004,0,0,0,0,0,24217,26180,7432,90.47619,34.013605,'Number of leaves: 55\nSize of the tree: 61\n',61,55,55
Glass-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191005.0053,193,21,13,8,0,61.904762,38.095238,0,0.478261,0.149726,0.296888,70.385886,91.014053,46.480972,2172.36847,-2125.887498,2.21338,103.446118,-101.232738,20.558413,0.978972,44.229741,0.857143,6,0.357143,5,0.642857,9,0.142857,1,0.545455,0.857143,0.666667,0.47194,0.770408,0.530303,0.619048,0.153175,0.846825,0.380952,?,0.619048,?,?,0.75558,0.518831,?,0.619048,0.002,0.001,0,0,0,0,27101,26180,7432,90.47619,36.734694,'Number of leaves: 64\nSize of the tree: 71\n',71,64,64
Glass-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191005.0053,193,21,12,9,0,57.142857,42.857143,0,0.380328,0.140837,0.318614,67.21787,99.358116,44.430294,3243.14613,-3198.715836,2.115728,154.43553,-152.319802,17.777036,0.846526,40.01107,0.571429,4,0.214286,3,0.785714,11,0.428571,3,0.571429,0.571429,0.571429,0.357143,0.714286,0.49093,0.571429,0.204518,0.795482,0.428571,?,0.571429,?,?,0.747009,0.525134,?,0.571429,0.002,0,0,0,0,0,35753,26180,7432,85.714286,29.251701,'Number of leaves: 91\nSize of the tree: 101\n',101,91,91
Glass-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191005.0053,193,21,13,8,0,61.904762,38.095238,0,0.434343,0.126623,0.266205,60.433884,83.014473,44.430294,2164.845665,-2120.415371,2.115728,103.087889,-100.972161,22.844763,1.087846,51.417086,0.857143,6,0.214286,3,0.785714,11,0.142857,1,0.666667,0.857143,0.75,0.612372,0.897959,0.75,0.619048,0.196581,0.803419,0.380952,?,0.619048,?,?,0.831473,0.675397,?,0.619048,0.002,0.001,0,0,0,0,29985,26180,7432,90.47619,31.292517,'Number of leaves: 73\nSize of the tree: 81\n',81,73,73
